line_number,timestamp,thread,log_level,class_name,pool_name,log_type,total,active,idle,waiting,connection_wrapper,close_reason,config_key,config_value,raw_log
3943,2026-01-08 19:27:16.202,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,5,1,2,,,,,"2026-01-08 19:27:16.202 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=5, idle=1, waiting=2)"
3948,2026-01-08 19:27:16.203,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,6,0,1,,,,,"2026-01-08 19:27:16.203 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=6, idle=0, waiting=1)"
4010,2026-01-08 19:27:16.206,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,6,0,1,,,,,"2026-01-08 19:27:16.206 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=6, idle=0, waiting=1)"
4013,2026-01-08 19:27:16.209,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,5,1,1,,,,,"2026-01-08 19:27:16.209 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=5, idle=1, waiting=1)"
4026,2026-01-08 19:27:16.210,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,6,0,1,,,,,"2026-01-08 19:27:16.210 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=6, idle=0, waiting=1)"
4033,2026-01-08 19:27:16.211,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,6,0,1,,,,,"2026-01-08 19:27:16.211 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=6, idle=0, waiting=1)"
4058,2026-01-08 19:27:16.214,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,6,0,1,,,,,"2026-01-08 19:27:16.214 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=6, idle=0, waiting=1)"
4077,2026-01-08 19:27:16.215,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,5,1,1,,,,,"2026-01-08 19:27:16.215 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=5, idle=1, waiting=1)"
5462,2026-01-08 19:27:23.290,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,POOL_STATS,6,0,6,0,,,,,"2026-01-08 19:27:23.290 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=6, active=0, idle=6, waiting=0)"
5463,2026-01-08 19:27:23.290,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,FILL_POOL,,,,,,,,,"2026-01-08 19:27:23.290 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled."
5467,2026-01-08 19:27:32.967,SpringApplicationShutdownHook,INFO,com.zaxxer.hikari.HikariDataSource,HikariPool-1,SHUTDOWN_INITIATED,,,,,,,,,2026-01-08 19:27:32.967 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
5468,2026-01-08 19:27:32.967,SpringApplicationShutdownHook,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,BEFORE_SHUTDOWN_STATS,6,0,6,0,,,,,"2026-01-08 19:27:32.967 [SpringApplicationShutdownHook] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Before shutdown stats (total=6, active=0, idle=6, waiting=0)"
5469,2026-01-08 19:27:32.968,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@2119b989,connection evicted,,,2026-01-08 19:27:32.968 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@2119b989: (connection evicted)
5470,2026-01-08 19:27:32.969,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@64dea4af,connection evicted,,,2026-01-08 19:27:32.969 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@64dea4af: (connection evicted)
5471,2026-01-08 19:27:32.969,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@5e6a803,connection evicted,,,2026-01-08 19:27:32.969 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@5e6a803: (connection evicted)
5472,2026-01-08 19:27:32.970,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@7de3d7fd,connection evicted,,,2026-01-08 19:27:32.970 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@7de3d7fd: (connection evicted)
5473,2026-01-08 19:27:32.970,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@66e7bf30,connection evicted,,,2026-01-08 19:27:32.970 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@66e7bf30: (connection evicted)
5474,2026-01-08 19:27:32.971,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@66019398,connection evicted,,,2026-01-08 19:27:32.971 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@66019398: (connection evicted)
5475,2026-01-08 19:27:32.971,SpringApplicationShutdownHook,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,AFTER_SHUTDOWN_STATS,0,0,0,0,,,,,"2026-01-08 19:27:32.971 [SpringApplicationShutdownHook] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - After shutdown stats (total=0, active=0, idle=0, waiting=0)"
5476,2026-01-08 19:27:32.973,SpringApplicationShutdownHook,INFO,com.zaxxer.hikari.HikariDataSource,HikariPool-1,SHUTDOWN_COMPLETED,,,,,,,,,2026-01-08 19:27:32.973 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
