line_number,timestamp,thread,log_level,class_name,bottleneck_version,total_duration_ms,rdb_time_ms,rdb_time_percent,rdb_call_count,raw_header
2153,2026-01-08 20:51:41.308,http-nio-8185-exec-14,INFO,c.w.r.s.CharterRecommendationService,2.1.1,257,45,17.5,4,2026-01-08 20:51:41.308 [http-nio-8185-exec-14] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2259,2026-01-08 20:51:41.392,http-nio-8185-exec-13,INFO,c.w.r.s.CharterRecommendationService,2.1.1,244,10,4.1,2,2026-01-08 20:51:41.392 [http-nio-8185-exec-13] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2268,2026-01-08 20:51:41.413,http-nio-8185-exec-18,INFO,c.w.r.s.CharterRecommendationService,2.1.1,348,38,10.9,5,2026-01-08 20:51:41.413 [http-nio-8185-exec-18] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2277,2026-01-08 20:51:41.419,http-nio-8185-exec-4,INFO,c.w.r.s.CharterRecommendationService,2.1.1,358,96,26.8,13,2026-01-08 20:51:41.419 [http-nio-8185-exec-4] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2286,2026-01-08 20:51:41.425,http-nio-8185-exec-12,INFO,c.w.r.s.CharterRecommendationService,2.1.1,268,20,7.5,1,2026-01-08 20:51:41.425 [http-nio-8185-exec-12] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2295,2026-01-08 20:51:41.450,http-nio-8185-exec-19,INFO,c.w.r.s.CharterRecommendationService,2.1.1,275,26,9.5,2,2026-01-08 20:51:41.450 [http-nio-8185-exec-19] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2304,2026-01-08 20:51:41.455,http-nio-8185-exec-9,INFO,c.w.r.s.CharterRecommendationService,2.1.1,294,66,22.4,5,2026-01-08 20:51:41.455 [http-nio-8185-exec-9] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2313,2026-01-08 20:51:41.462,http-nio-8185-exec-10,INFO,c.w.r.s.CharterRecommendationService,2.1.1,320,62,19.4,9,2026-01-08 20:51:41.462 [http-nio-8185-exec-10] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2322,2026-01-08 20:51:41.464,http-nio-8185-exec-3,INFO,c.w.r.s.CharterRecommendationService,2.1.1,288,60,20.8,4,2026-01-08 20:51:41.464 [http-nio-8185-exec-3] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2323,2026-01-08 20:51:41.465,http-nio-8185-exec-1,INFO,c.w.r.s.CharterRecommendationService,2.1.1,388,134,34.5,13,2026-01-08 20:51:41.465 [http-nio-8185-exec-1] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2338,2026-01-08 20:51:41.471,http-nio-8185-exec-15,INFO,c.w.r.s.CharterRecommendationService,2.1.1,320,36,11.3,4,2026-01-08 20:51:41.471 [http-nio-8185-exec-15] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2350,2026-01-08 20:51:41.496,http-nio-8185-exec-6,INFO,c.w.r.s.CharterRecommendationService,2.1.1,232,33,14.2,5,2026-01-08 20:51:41.496 [http-nio-8185-exec-6] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2349,2026-01-08 20:51:41.496,http-nio-8185-exec-20,INFO,c.w.r.s.CharterRecommendationService,2.1.1,430,87,20.2,12,2026-01-08 20:51:41.496 [http-nio-8185-exec-20] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2367,2026-01-08 20:51:41.502,http-nio-8185-exec-16,INFO,c.w.r.s.CharterRecommendationService,2.1.1,347,49,14.1,5,2026-01-08 20:51:41.502 [http-nio-8185-exec-16] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2376,2026-01-08 20:51:41.503,http-nio-8185-exec-7,INFO,c.w.r.s.CharterRecommendationService,2.1.1,419,72,17.2,11,2026-01-08 20:51:41.503 [http-nio-8185-exec-7] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2383,2026-01-08 20:51:41.504,http-nio-8185-exec-8,INFO,c.w.r.s.CharterRecommendationService,2.1.1,354,87,24.6,9,2026-01-08 20:51:41.504 [http-nio-8185-exec-8] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2394,2026-01-08 20:51:41.519,http-nio-8185-exec-17,INFO,c.w.r.s.CharterRecommendationService,2.1.1,345,51,14.8,5,2026-01-08 20:51:41.519 [http-nio-8185-exec-17] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2403,2026-01-08 20:51:41.521,http-nio-8185-exec-11,INFO,c.w.r.s.CharterRecommendationService,2.1.1,246,13,5.3,2,2026-01-08 20:51:41.521 [http-nio-8185-exec-11] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2412,2026-01-08 20:51:41.523,http-nio-8185-exec-5,INFO,c.w.r.s.CharterRecommendationService,2.1.1,314,65,20.7,12,2026-01-08 20:51:41.523 [http-nio-8185-exec-5] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
2421,2026-01-08 20:51:41.544,http-nio-8185-exec-2,INFO,c.w.r.s.CharterRecommendationService,2.1.1,307,113,36.8,21,2026-01-08 20:51:41.544 [http-nio-8185-exec-2] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
