line_number,timestamp,thread,log_level,class_name,bottleneck_version,total_duration_ms,rdb_time_ms,rdb_time_percent,rdb_call_count,raw_header
709,2026-01-06 21:17:36.620,http-nio-8185-exec-11,INFO,c.w.r.s.CharterRecommendationService,2.1.1,152,32,21.1,1,2026-01-06 21:17:36.620 [http-nio-8185-exec-11] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
744,2026-01-06 21:17:36.673,http-nio-8185-exec-13,INFO,c.w.r.s.CharterRecommendationService,2.1.1,196,40,20.4,1,2026-01-06 21:17:36.673 [http-nio-8185-exec-13] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
753,2026-01-06 21:17:36.684,http-nio-8185-exec-17,INFO,c.w.r.s.CharterRecommendationService,2.1.1,144,6,4.2,1,2026-01-06 21:17:36.684 [http-nio-8185-exec-17] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
762,2026-01-06 21:17:36.686,http-nio-8185-exec-19,INFO,c.w.r.s.CharterRecommendationService,2.1.1,197,17,8.6,1,2026-01-06 21:17:36.686 [http-nio-8185-exec-19] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
771,2026-01-06 21:17:36.761,http-nio-8185-exec-18,INFO,c.w.r.s.CharterRecommendationService,2.1.1,203,5,2.5,1,2026-01-06 21:17:36.761 [http-nio-8185-exec-18] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
780,2026-01-06 21:17:36.810,http-nio-8185-exec-2,INFO,c.w.r.s.CharterRecommendationService,2.1.1,320,30,9.4,1,2026-01-06 21:17:36.810 [http-nio-8185-exec-2] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
789,2026-01-06 21:17:36.812,http-nio-8185-exec-4,INFO,c.w.r.s.CharterRecommendationService,2.1.1,314,28,8.9,1,2026-01-06 21:17:36.812 [http-nio-8185-exec-4] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
799,2026-01-06 21:17:36.844,http-nio-8185-exec-9,INFO,c.w.r.s.CharterRecommendationService,2.1.1,286,17,5.9,1,2026-01-06 21:17:36.844 [http-nio-8185-exec-9] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
795,2026-01-06 21:17:36.844,http-nio-8185-exec-20,INFO,c.w.r.s.CharterRecommendationService,2.1.1,268,6,2.2,1,2026-01-06 21:17:36.844 [http-nio-8185-exec-20] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
809,2026-01-06 21:17:36.845,http-nio-8185-exec-14,INFO,c.w.r.s.CharterRecommendationService,2.1.1,353,32,9.1,1,2026-01-06 21:17:36.845 [http-nio-8185-exec-14] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
816,2026-01-06 21:17:36.850,http-nio-8185-exec-6,INFO,c.w.r.s.CharterRecommendationService,2.1.1,271,18,6.6,1,2026-01-06 21:17:36.850 [http-nio-8185-exec-6] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
818,2026-01-06 21:17:36.851,http-nio-8185-exec-10,INFO,c.w.r.s.CharterRecommendationService,2.1.1,279,20,7.2,1,2026-01-06 21:17:36.851 [http-nio-8185-exec-10] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
826,2026-01-06 21:17:36.858,http-nio-8185-exec-5,INFO,c.w.r.s.CharterRecommendationService,2.1.1,251,7,2.8,1,2026-01-06 21:17:36.858 [http-nio-8185-exec-5] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
835,2026-01-06 21:17:36.860,http-nio-8185-exec-7,INFO,c.w.r.s.CharterRecommendationService,2.1.1,320,25,7.8,1,2026-01-06 21:17:36.860 [http-nio-8185-exec-7] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
847,2026-01-06 21:17:36.861,http-nio-8185-exec-1,INFO,c.w.r.s.CharterRecommendationService,2.1.1,280,19,6.8,1,2026-01-06 21:17:36.861 [http-nio-8185-exec-1] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
841,2026-01-06 21:17:36.861,http-nio-8185-exec-12,INFO,c.w.r.s.CharterRecommendationService,2.1.1,293,19,6.5,1,2026-01-06 21:17:36.861 [http-nio-8185-exec-12] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
845,2026-01-06 21:17:36.864,http-nio-8185-exec-15,INFO,c.w.r.s.CharterRecommendationService,2.1.1,306,26,8.5,1,2026-01-06 21:17:36.864 [http-nio-8185-exec-15] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
874,2026-01-06 21:17:36.888,http-nio-8185-exec-3,INFO,c.w.r.s.CharterRecommendationService,2.1.1,304,27,8.9,1,2026-01-06 21:17:36.888 [http-nio-8185-exec-3] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
857,2026-01-06 21:17:36.892,http-nio-8185-exec-8,INFO,c.w.r.s.CharterRecommendationService,2.1.1,273,17,6.2,1,2026-01-06 21:17:36.892 [http-nio-8185-exec-8] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
876,2026-01-06 21:17:36.894,http-nio-8185-exec-16,INFO,c.w.r.s.CharterRecommendationService,2.1.1,285,40,14.0,1,2026-01-06 21:17:36.894 [http-nio-8185-exec-16] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
