thread_id,first_timestamp,last_timestamp,total_duration_ms,rdb_time_ms,rdb_percentage,rdb_call_count,property_count,status,event_sequence
exec-11,15:01:12.175,15:01:12.176,5588,374,6.7,25,8660,SUCCESS_NORMAL,[15:01:12.175] === Bottleneck Point 시작 === → [15:01:12.175] 총 소요 시간: 5588ms → [15:01:12.175] RDB 조회 시간: 374ms (6.7%) → [15:01:12.175] RDB 호출 횟수: 25회 → [15:01:12.175] 총 매물 수: 8660건 → [15:01:12.175] === Bottleneck Point 종료 === → [15:01:12.175] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.176] S-06: 전세 최종 응답 생성 시작 → [15:01:12.176] 전세 지역구 추천 서비스 완료 → [15:01:12.176] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-12,15:01:12.000,15:01:12.002,5406,434,8.0,25,8660,SUCCESS_NORMAL,[15:01:12.000] === Bottleneck Point 시작 === → [15:01:12.000] 총 소요 시간: 5406ms → [15:01:12.000] RDB 조회 시간: 434ms (8.0%) → [15:01:12.000] RDB 호출 횟수: 25회 → [15:01:12.000] 총 매물 수: 8660건 → [15:01:12.000] === Bottleneck Point 종료 === → [15:01:12.000] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.001] S-06: 전세 최종 응답 생성 시작 → [15:01:12.002] 전세 지역구 추천 서비스 완료 → [15:01:12.002] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-13,15:01:12.119,15:01:12.122,5524,381,6.9,25,8660,SUCCESS_NORMAL,[15:01:12.119] === Bottleneck Point 시작 === → [15:01:12.119] 총 소요 시간: 5524ms → [15:01:12.119] RDB 조회 시간: 381ms (6.9%) → [15:01:12.120] RDB 호출 횟수: 25회 → [15:01:12.120] 총 매물 수: 8660건 → [15:01:12.120] === Bottleneck Point 종료 === → [15:01:12.120] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.121] S-06: 전세 최종 응답 생성 시작 → [15:01:12.122] 전세 지역구 추천 서비스 완료 → [15:01:12.122] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-14,15:01:12.153,15:01:12.155,5560,381,6.9,25,8660,SUCCESS_NORMAL,[15:01:12.153] === Bottleneck Point 시작 === → [15:01:12.153] 총 소요 시간: 5560ms → [15:01:12.154] RDB 조회 시간: 381ms (6.9%) → [15:01:12.154] RDB 호출 횟수: 25회 → [15:01:12.154] 총 매물 수: 8660건 → [15:01:12.154] === Bottleneck Point 종료 === → [15:01:12.154] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.154] S-06: 전세 최종 응답 생성 시작 → [15:01:12.155] 전세 지역구 추천 서비스 완료 → [15:01:12.155] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-15,15:01:12.096,15:01:12.097,5513,353,6.4,25,8660,SUCCESS_NORMAL,[15:01:12.096] === Bottleneck Point 시작 === → [15:01:12.096] 총 소요 시간: 5513ms → [15:01:12.096] RDB 조회 시간: 353ms (6.4%) → [15:01:12.096] RDB 호출 횟수: 25회 → [15:01:12.096] 총 매물 수: 8660건 → [15:01:12.096] === Bottleneck Point 종료 === → [15:01:12.096] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.097] S-06: 전세 최종 응답 생성 시작 → [15:01:12.097] 전세 지역구 추천 서비스 완료 → [15:01:12.097] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-16,15:01:12.157,15:01:12.160,5581,305,5.5,25,8660,SUCCESS_NORMAL,[15:01:12.157] === Bottleneck Point 시작 === → [15:01:12.158] 총 소요 시간: 5581ms → [15:01:12.158] RDB 조회 시간: 305ms (5.5%) → [15:01:12.158] RDB 호출 횟수: 25회 → [15:01:12.158] 총 매물 수: 8660건 → [15:01:12.158] === Bottleneck Point 종료 === → [15:01:12.158] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.159] S-06: 전세 최종 응답 생성 시작 → [15:01:12.159] 전세 지역구 추천 서비스 완료 → [15:01:12.160] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-17,15:01:12.125,15:01:12.126,5545,315,5.7,25,8660,SUCCESS_NORMAL,[15:01:12.125] === Bottleneck Point 시작 === → [15:01:12.125] 총 소요 시간: 5545ms → [15:01:12.125] RDB 조회 시간: 315ms (5.7%) → [15:01:12.125] RDB 호출 횟수: 25회 → [15:01:12.125] 총 매물 수: 8660건 → [15:01:12.125] === Bottleneck Point 종료 === → [15:01:12.125] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.126] S-06: 전세 최종 응답 생성 시작 → [15:01:12.126] 전세 지역구 추천 서비스 완료 → [15:01:12.126] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-18,15:01:12.167,15:01:12.169,5581,357,6.4,25,8660,SUCCESS_NORMAL,[15:01:12.167] === Bottleneck Point 시작 === → [15:01:12.167] 총 소요 시간: 5581ms → [15:01:12.168] RDB 조회 시간: 357ms (6.4%) → [15:01:12.168] RDB 호출 횟수: 25회 → [15:01:12.168] 총 매물 수: 8660건 → [15:01:12.168] === Bottleneck Point 종료 === → [15:01:12.168] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.169] S-06: 전세 최종 응답 생성 시작 → [15:01:12.169] 전세 지역구 추천 서비스 완료 → [15:01:12.169] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-19,15:01:11.993,15:01:11.995,5409,336,6.2,25,8660,SUCCESS_NORMAL,[15:01:11.993] === Bottleneck Point 시작 === → [15:01:11.993] 총 소요 시간: 5409ms → [15:01:11.994] RDB 조회 시간: 336ms (6.2%) → [15:01:11.994] RDB 호출 횟수: 25회 → [15:01:11.994] 총 매물 수: 8660건 → [15:01:11.994] === Bottleneck Point 종료 === → [15:01:11.994] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:11.995] S-06: 전세 최종 응답 생성 시작 → [15:01:11.995] 전세 지역구 추천 서비스 완료 → [15:01:11.995] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-20,15:01:12.135,15:01:12.137,5551,332,6.0,25,8660,SUCCESS_NORMAL,[15:01:12.135] === Bottleneck Point 시작 === → [15:01:12.135] 총 소요 시간: 5551ms → [15:01:12.135] RDB 조회 시간: 332ms (6.0%) → [15:01:12.135] RDB 호출 횟수: 25회 → [15:01:12.135] 총 매물 수: 8660건 → [15:01:12.135] === Bottleneck Point 종료 === → [15:01:12.135] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.136] S-06: 전세 최종 응답 생성 시작 → [15:01:12.137] 전세 지역구 추천 서비스 완료 → [15:01:12.137] 추천 요청 완료 - 상태: SUCCESS_NORMAL
