line_number,timestamp,thread,log_level,class_name,pool_name,log_type,total,active,idle,waiting,connection_wrapper,close_reason,config_key,config_value,raw_log
293519,2026-01-07 13:55:11.561,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,POOL_STATS,6,0,6,0,,,,,"2026-01-07 13:55:11.561 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=6, active=0, idle=6, waiting=0)"
293520,2026-01-07 13:55:11.561,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,FILL_POOL,,,,,,,,,"2026-01-07 13:55:11.561 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled."
293521,2026-01-07 13:55:41.572,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,POOL_STATS,6,0,6,0,,,,,"2026-01-07 13:55:41.572 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=6, active=0, idle=6, waiting=0)"
293522,2026-01-07 13:55:41.572,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,FILL_POOL,,,,,,,,,"2026-01-07 13:55:41.572 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled."
293523,2026-01-07 13:56:11.578,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,POOL_STATS,6,0,6,0,,,,,"2026-01-07 13:56:11.578 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=6, active=0, idle=6, waiting=0)"
293524,2026-01-07 13:56:11.578,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,FILL_POOL,,,,,,,,,"2026-01-07 13:56:11.578 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled."
293525,2026-01-07 13:56:41.585,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,POOL_STATS,6,0,6,0,,,,,"2026-01-07 13:56:41.585 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=6, active=0, idle=6, waiting=0)"
293526,2026-01-07 13:56:41.585,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,FILL_POOL,,,,,,,,,"2026-01-07 13:56:41.585 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled."
293527,2026-01-07 13:56:53.183,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@37c33802,connection has passed maxLifetime,,,2026-01-07 13:56:53.183 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@37c33802: (connection has passed maxLifetime)
293528,2026-01-07 13:56:53.246,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_ADDED,,,,,,,,,2026-01-07 13:56:53.246 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.p6spy.engine.wrapper.ConnectionWrapper@50e85c7b
293529,2026-01-07 13:56:53.278,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,0,6,0,,,,,"2026-01-07 13:56:53.278 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=0, idle=6, waiting=0)"
293530,2026-01-07 13:56:53.278,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@3d48f654,connection has passed maxLifetime,,,2026-01-07 13:56:53.278 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@3d48f654: (connection has passed maxLifetime)
293531,2026-01-07 13:56:53.317,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_ADDED,,,,,,,,,2026-01-07 13:56:53.317 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.p6spy.engine.wrapper.ConnectionWrapper@3297fc6d
293532,2026-01-07 13:56:53.357,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,0,6,0,,,,,"2026-01-07 13:56:53.357 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=0, idle=6, waiting=0)"
293533,2026-01-07 13:57:11.590,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,POOL_STATS,6,0,6,0,,,,,"2026-01-07 13:57:11.590 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=6, active=0, idle=6, waiting=0)"
293534,2026-01-07 13:57:11.590,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,FILL_POOL,,,,,,,,,"2026-01-07 13:57:11.590 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled."
293535,2026-01-07 13:57:19.790,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@32f73b81,connection has passed maxLifetime,,,2026-01-07 13:57:19.790 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@32f73b81: (connection has passed maxLifetime)
293536,2026-01-07 13:57:19.821,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_ADDED,,,,,,,,,2026-01-07 13:57:19.821 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.p6spy.engine.wrapper.ConnectionWrapper@193053d8
293537,2026-01-07 13:57:19.869,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,0,6,0,,,,,"2026-01-07 13:57:19.869 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=0, idle=6, waiting=0)"
293538,2026-01-07 13:57:37.303,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@15b8c433,connection has passed maxLifetime,,,2026-01-07 13:57:37.303 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@15b8c433: (connection has passed maxLifetime)
293539,2026-01-07 13:57:37.334,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_ADDED,,,,,,,,,2026-01-07 13:57:37.334 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.p6spy.engine.wrapper.ConnectionWrapper@18adf64
293540,2026-01-07 13:57:37.382,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,0,6,0,,,,,"2026-01-07 13:57:37.382 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=0, idle=6, waiting=0)"
293541,2026-01-07 13:57:40.538,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@159f2df6,connection has passed maxLifetime,,,2026-01-07 13:57:40.538 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@159f2df6: (connection has passed maxLifetime)
293542,2026-01-07 13:57:40.570,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_ADDED,,,,,,,,,2026-01-07 13:57:40.570 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.p6spy.engine.wrapper.ConnectionWrapper@59e868fd
293543,2026-01-07 13:57:40.617,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,6,0,6,0,,,,,"2026-01-07 13:57:40.617 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=6, active=0, idle=6, waiting=0)"
293544,2026-01-07 13:57:41.592,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,POOL_STATS,6,0,6,0,,,,,"2026-01-07 13:57:41.592 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=6, active=0, idle=6, waiting=0)"
293545,2026-01-07 13:57:41.592,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,FILL_POOL,,,,,,,,,"2026-01-07 13:57:41.592 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled."
293546,2026-01-07 13:58:00.698,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@36d1bbfd,connection has passed maxLifetime,,,2026-01-07 13:58:00.698 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@36d1bbfd: (connection has passed maxLifetime)
