개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명
3040000,CDFF4220002025000008,2025-05-27,,1,영업/정상,13,영업중,,,,,1544-0070,,,서울특별시 광진구 자양동 870 판매시설,"서울특별시 광진구 아차산로 402, 3,4층 (자양동)",5050,메가박스중앙(주) 구의이스트폴지점 8관,2025-05-27 10:08,I,09:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000000,CDFF4220002004000010,2004-11-12,,3,폐업,3,폐업,2025-05-27,,,,3674-7735,,,서울특별시 종로구 돈의동 137 지하2층,"서울특별시 종로구 돈화문로5가길 1 (돈의동,지하2층)",,CGV피카디리1958 3관,2025-05-27 17:27,U,09:00.0,,199155.5449,452083.1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002005000006,2005-06-23,,3,폐업,3,폐업,2024-09-30,,,,3393-3500,,,서울특별시 중구 필동2가 19-1 ,서울특별시 중구 퇴계로 212 (필동2가),,대한극장(9관),2024-10-04 17:14,U,40:00.0,,199519.6498,450977.2505,영화상영관,영화상영관,9,,,0,8,1,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20050623,상업지역
3010000,CDFF4220002001000005,2001-12-12,,3,폐업,3,폐업,2024-09-30,,,,3396-3500,,,서울특별시 중구 충무로4가 125-18 ,서울특별시 중구 퇴계로 212 (충무로4가),4557,대한극장(2관),2024-10-04 17:12,U,40:00.0,,199532.8921,451004.6367,영화상영관,,0,,,0,8,1,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20011212,상업지역
3010000,CDFF4220002003000004,2003-05-20,,3,폐업,3,폐업,2010-11-17,,,,2004-8014,,,서울특별시 중구 정동 22번지 ,서울특별시 중구 정동길 3  (정동),,"시네마 정동 2관,3관,4관,5관,6관",2010-11-17 9:32,I,59:59.0,,197279.3284,451765.4265,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20030520,
3010000,CDFF4220002001000012,2001-12-12,,3,폐업,3,폐업,2024-09-30,,,,3393-3500,,,서울특별시 중구 충무로4가 125-18 ,서울특별시 중구 퇴계로 212 (충무로4가),4557,대한극장(11관),2024-10-04 17:15,U,40:00.0,,199532.8921,451004.6367,영화상영관,,0,,,0,8,1,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20011212,상업지역
3010000,CDFF4220002003000005,2003-05-20,,3,폐업,3,폐업,2010-05-31,,,,776-9024,,100-031,서울특별시 중구 저동1가 48번지 ,서울특별시 중구 삼일대로 341  (저동1가),,중앙시네마,2010-06-09 16:07,I,59:59.0,,,,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20030520,
3170000,CDFF4220002013000003,2013-03-21,,1,영업/정상,13,영업중,,,,,070-7465-3822,,,서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점,"서울특별시 금천구 디지털로10길 9, 현대시티아울렛 가산점 (가산동)",8514,롯데시네마 가산디지털(제2관),2025-07-28 16:38,U,00:00.0,,190119.4634,441716.6846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3170000,CDFF4220002013000004,2013-03-21,,1,영업/정상,13,영업중,,,,,070-7465-3822,,,서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점,"서울특별시 금천구 디지털로10길 9, 현대시티아울렛 가산점 (가산동)",8514,롯데시네마 가산디지털(제1관),2025-07-28 16:38,U,00:00.0,,190119.4634,441716.6846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002017000001,2017-12-19,,1,영업/정상,13,영업중,,,,,02-2136-3500,,,서울특별시 중구 을지로6가 17-2 현대시티타워,"서울특별시 중구 장충단로13길 20, 현대시티타워 10층 (을지로6가)",4563,CGV 동대문 제1관,2025-04-15 17:57,U,07:00.0,,200613.5103,451817.5154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3170000,CDFF4220002013000005,2013-03-21,,1,영업/정상,13,영업중,,,,,070-7465-3822,,,서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점,"서울특별시 금천구 디지털로10길 9, 현대시티아울렛 가산점 (가산동)",8514,롯데시네마 가산디지털(제5관),2025-07-28 16:38,U,00:00.0,,190119.4634,441716.6846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3170000,CDFF4220002013000006,2013-03-21,,1,영업/정상,13,영업중,,,,,070-7465-3822,,,서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점,"서울특별시 금천구 디지털로10길 9, 현대시티아울렛 가산점 (가산동)",8514,롯데시네마 가산디지털(제6관),2025-07-28 16:38,U,00:00.0,,190119.4634,441716.6846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002004000001,2004-06-17,,3,폐업,3,폐업,2024-09-30,,,,3393-3500,,,서울특별시 중구 필동2가 19-1 ,서울특별시 중구 퇴계로 212 (필동2가),4625,대한극장(1관),2024-10-04 17:11,U,40:00.0,,199519.6498,450977.2505,영화상영관,영화상영관,9,기타,,0,8,1,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20040617,상업지역
3010000,CDFF4220002005000007,2005-08-23,,3,폐업,3,폐업,2018-08-24,,,,3455-8341,,,서울특별시 중구 예장동 8-145번지 ,서울특별시 중구 소파로 126 (예장동),,서울애니시네마,2018-09-03 14:05,U,59:59.0,,198861.6367,450682.155,영화상영관,영화상영관,5,,,0,4,1,사무실,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20050823,일반주거지역
3010000,CDFF4220002003000006,2003-05-20,,1,영업/정상,13,영업중,,,,,2274-2121,,100-300,서울특별시 중구 초동 18-5번지 ,서울특별시 중구 마른내로 47  (초동),,"명보 <<1,2,5관>>",2005-04-30 11:10,I,59:59.0,,199332.2989,451378.468,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20030520,
3010000,CDFF4220002013000001,2013-02-27,,1,영업/정상,13,영업중,,,,,070-4222-8869,,,서울특별시 중구 충정로1가 68번지 ,"서울특별시 중구 새문안로 22 (충정로1가, 문화일보)",4516,청춘극장,2015-03-26 11:03,I,59:59.0,,197164.2265,451647.6741,영화상영관,,17,,,0,11,6,근린생활시설,1,0,0,0,,,,,,,,,,,,0,,,영화관,,20130227,상업지역
